,Año,Trimestre,Provincia,accesos
160,2020,4,Salta,54.04
161,2020,4,San Juan,36.32
162,2020,4,San Luis,81.68
163,2020,4,Santa Cruz,37
164,2020,4,Santa Fe,73.58
165,2020,4,Santiago Del Estero,43.75
166,2020,4,Tierra Del Fuego,76.27
167,2020,4,Tucumán,54.78
168,2020,3,Buenos Aires,67.66
169,2020,3,Capital Federal,107.68
170,2020,3,Catamarca,47.16
171,2020,3,Chaco,41.54
172,2020,3,Chubut,68.34
173,2020,3,Córdoba,75.22
174,2020,3,Corrientes,41.75
175,2020,3,Entre Ríos,58.19
176,2020,3,Formosa,31.91
177,2020,3,Jujuy,54.04
178,2020,3,La Pampa,79.26
179,2020,3,La Rioja,50.12
180,2020,3,Mendoza,37.35
181,2020,3,Misiones,41.6
182,2020,3,Neuquén,65.24
183,2020,3,Río Negro,57.05
184,2020,3,Salta,52.32
185,2020,3,San Juan,38.79
186,2020,3,San Luis,79.96
187,2020,3,Santa Cruz,35.95
188,2020,3,Santa Fe,72.12
189,2020,3,Santiago Del Estero,43.38
190,2020,3,Tierra Del Fuego,76.81
191,2020,3,Tucumán,53.23
192,2020,2,Buenos Aires,65.22
193,2020,2,Capital Federal,106.41
194,2020,2,Catamarca,45.43
195,2020,2,Chaco,39.83
196,2020,2,Chubut,57.34
197,2020,2,Córdoba,72.71
198,2020,2,Corrientes,40.3
199,2020,2,Entre Ríos,56.54
200,2020,2,Formosa,31.14
201,2020,2,Jujuy,47.89
202,2020,2,La Pampa,76.1
203,2020,2,La Rioja,49.84
204,2020,2,Mendoza,36.25
205,2020,2,Misiones,40.89
206,2020,2,Neuquén,63.9
207,2020,2,Río Negro,56.37
208,2020,2,Salta,51.58
209,2020,2,San Juan,35.09
210,2020,2,San Luis,78.41
211,2020,2,Santa Cruz,35.79
212,2020,2,Santa Fe,70
213,2020,2,Santiago Del Estero,43.47
214,2020,2,Tierra Del Fuego,76.37
215,2020,2,Tucumán,51.78
216,2020,1,Buenos Aires,64.33
217,2020,1,Capital Federal,105.98
218,2020,1,Catamarca,37.62
219,2020,1,Chaco,37.48
220,2020,1,Chubut,51.27
221,2020,1,Córdoba,70.69
222,2020,1,Corrientes,38.73
223,2020,1,Entre Ríos,56.12
224,2020,1,Formosa,30.23
225,2020,1,Jujuy,46.67
226,2020,1,La Pampa,75.77
227,2020,1,La Rioja,46.35
228,2020,1,Mendoza,33.14
229,2020,1,Misiones,39.02
230,2020,1,Neuquén,61.85
231,2020,1,Río Negro,55.12
232,2020,1,Salta,49.6
233,2020,1,San Juan,32.39
234,2020,1,San Luis,76.31
235,2020,1,Santa Cruz,35.97
236,2020,1,Santa Fe,69.52
237,2020,1,Santiago Del Estero,42.47
238,2020,1,Tierra Del Fuego,76.07
239,2020,1,Tucumán,47.85
240,2019,4,Buenos Aires,64.25
241,2019,4,Capital Federal,106.25
242,2019,4,Catamarca,36.44
243,2019,4,Chaco,36.84
244,2019,4,Chubut,51.15
245,2019,4,Córdoba,70.48
246,2019,4,Corrientes,38.77
247,2019,4,Entre Ríos,57.99
248,2019,4,Formosa,30.47
249,2019,4,Jujuy,45.38
250,2019,4,La Pampa,76.92
251,2019,4,La Rioja,47.14
252,2019,4,Mendoza,33.65
253,2019,4,Misiones,39.79
254,2019,4,Neuquén,59.36
255,2019,4,Río Negro,55.71
256,2019,4,Salta,50.35
257,2019,4,San Juan,32.85
258,2019,4,San Luis,74.92
259,2019,4,Santa Cruz,36.71
260,2019,4,Santa Fe,69.48
261,2019,4,Santiago Del Estero,42.92
262,2019,4,Tierra Del Fuego,79.7
263,2019,4,Tucumán,47.65
264,2019,3,Buenos Aires,69.36
265,2019,3,Capital Federal,112.65
266,2019,3,Catamarca,30.88
267,2019,3,Chaco,35.85
268,2019,3,Chubut,47.57
269,2019,3,Córdoba,68.59
270,2019,3,Corrientes,38.49
271,2019,3,Entre Ríos,57.9
272,2019,3,Formosa,30.11
273,2019,3,Jujuy,44.32
274,2019,3,La Pampa,77.45
275,2019,3,La Rioja,47.94
276,2019,3,Mendoza,40.74
277,2019,3,Misiones,39.33
278,2019,3,Neuquén,64.14
279,2019,3,Río Negro,63.42
280,2019,3,Salta,44.48
281,2019,3,San Juan,37.06
282,2019,3,San Luis,85.23
283,2019,3,Santa Cruz,35.63
284,2019,3,Santa Fe,68.87
285,2019,3,Santiago Del Estero,55.3
286,2019,3,Tierra Del Fuego,96.46
287,2019,3,Tucumán,39.49
288,2019,2,Buenos Aires,67.85
289,2019,2,Capital Federal,110.55
290,2019,2,Catamarca,32.13
291,2019,2,Chaco,34.14
292,2019,2,Chubut,46.99
293,2019,2,Córdoba,68.07
294,2019,2,Corrientes,38.16
295,2019,2,Entre Ríos,57.48
296,2019,2,Formosa,30.42
297,2019,2,Jujuy,44.51
298,2019,2,La Pampa,77.08
299,2019,2,La Rioja,48.7
300,2019,2,Mendoza,40.75
301,2019,2,Misiones,39.15
302,2019,2,Neuquén,63.08
303,2019,2,Río Negro,61.09
304,2019,2,Salta,41.89
305,2019,2,San Juan,35.6
306,2019,2,San Luis,81.79
307,2019,2,Santa Cruz,28.85
308,2019,2,Santa Fe,67.42
309,2019,2,Santiago Del Estero,52.79
310,2019,2,Tierra Del Fuego,94.8
311,2019,2,Tucumán,40.14
312,2019,1,Buenos Aires,66.24
313,2019,1,Capital Federal,109.2
314,2019,1,Catamarca,32.19
315,2019,1,Chaco,32.64
316,2019,1,Chubut,43
317,2019,1,Córdoba,65.52
318,2019,1,Corrientes,35.13
319,2019,1,Entre Ríos,56.79
320,2019,1,Formosa,29.68
321,2019,1,Jujuy,46.41
322,2019,1,La Pampa,76.35
323,2019,1,La Rioja,50.18
324,2019,1,Mendoza,37.66
325,2019,1,Misiones,36.26
326,2019,1,Neuquén,58.88
327,2019,1,Río Negro,53.57
328,2019,1,Salta,40.1
329,2019,1,San Juan,31.83
330,2019,1,San Luis,67.34
331,2019,1,Santa Cruz,23.67
332,2019,1,Santa Fe,66.97
333,2019,1,Santiago Del Estero,37.52
334,2019,1,Tierra Del Fuego,93.38
335,2019,1,Tucumán,41.63
336,2018,4,Buenos Aires,64.6
337,2018,4,Capital Federal,108.27
338,2018,4,Catamarca,32.23
339,2018,4,Chaco,32.59
340,2018,4,Chubut,42.61
341,2018,4,Córdoba,65.09
342,2018,4,Corrientes,34.57
343,2018,4,Entre Ríos,54.37
344,2018,4,Formosa,29.74
345,2018,4,Jujuy,46.53
346,2018,4,La Pampa,73.49
347,2018,4,La Rioja,50.35
348,2018,4,Mendoza,37.76
349,2018,4,Misiones,34.45
350,2018,4,Neuquén,59.07
351,2018,4,Río Negro,51.86
352,2018,4,Salta,39.8
353,2018,4,San Juan,31.9
354,2018,4,San Luis,67.55
355,2018,4,Santa Cruz,23.69
356,2018,4,Santa Fe,65.59
357,2018,4,Santiago Del Estero,37.4
358,2018,4,Tierra Del Fuego,93.59
359,2018,4,Tucumán,41.76
360,2018,3,Buenos Aires,64.44
361,2018,3,Capital Federal,108.45
362,2018,3,Catamarca,32.92
363,2018,3,Chaco,32.28
364,2018,3,Chubut,56.39
365,2018,3,Córdoba,64.24
366,2018,3,Corrientes,34.25
367,2018,3,Entre Ríos,50.22
368,2018,3,Formosa,29.58
369,2018,3,Jujuy,23.26
370,2018,3,La Pampa,71.75
371,2018,3,La Rioja,50.73
372,2018,3,Mendoza,37.99
373,2018,3,Misiones,32.1
374,2018,3,Neuquén,60.49
375,2018,3,Río Negro,50.54
376,2018,3,Salta,39.43
377,2018,3,San Juan,33.05
378,2018,3,San Luis,52.35
379,2018,3,Santa Cruz,32.73
380,2018,3,Santa Fe,63.41
381,2018,3,Santiago Del Estero,36.25
382,2018,3,Tierra Del Fuego,92.77
383,2018,3,Tucumán,41.68
384,2018,2,Buenos Aires,62.78
385,2018,2,Capital Federal,106.53
386,2018,2,Catamarca,32.86
387,2018,2,Chaco,31.25
388,2018,2,Chubut,54.9
389,2018,2,Córdoba,63.27
390,2018,2,Corrientes,33.81
391,2018,2,Entre Ríos,49.2
392,2018,2,Formosa,29.43
393,2018,2,Jujuy,23.43
394,2018,2,La Pampa,71.04
395,2018,2,La Rioja,50.98
396,2018,2,Mendoza,36.97
397,2018,2,Misiones,31.63
398,2018,2,Neuquén,60.24
399,2018,2,Río Negro,50.15
400,2018,2,Salta,39.94
401,2018,2,San Juan,32.95
402,2018,2,San Luis,15.15
403,2018,2,Santa Cruz,33.33
404,2018,2,Santa Fe,62.57
405,2018,2,Santiago Del Estero,35.26
406,2018,2,Tierra Del Fuego,91.61
407,2018,2,Tucumán,41.51
408,2018,1,Buenos Aires,62.63
409,2018,1,Capital Federal,106.24
410,2018,1,Catamarca,32.79
411,2018,1,Chaco,30.83
412,2018,1,Chubut,53.72
413,2018,1,Córdoba,63.52
414,2018,1,Corrientes,32.66
415,2018,1,Entre Ríos,48.68
416,2018,1,Formosa,21.4
417,2018,1,Jujuy,23.12
