,Año,Trimestre,Provincia,accesos
803,2014,1,La Rioja,16.29
804,2014,1,Mendoza,31.91
805,2014,1,Misiones,23.14
806,2014,1,Neuquén,49.79
807,2014,1,Río Negro,44.91
808,2014,1,Salta,28.7
809,2014,1,San Juan,27.6
810,2014,1,San Luis,9.35
811,2014,1,Santa Cruz,28.94
812,2014,1,Santa Fe,47.85
813,2014,1,Santiago Del Estero,16.31
814,2014,1,Tierra Del Fuego,63.97
815,2014,1,Tucumán,33.42
